source,device_key,hw_name,model_key,latency_ms,nominal_power_w,measurement_type,source_url,notes
coral_models_all,coral_usb_accelerator,Coral USB Accelerator,mobilenetv2,2.9,2.0,reported_latency;reported_power,"https://www.coral.ai/models/all/;https://www.coral.ai/docs/edgetpu/faq/","Official Coral model catalog, MobileNet V2 on Coral USB Accelerator; energy can be inferred from official 2 W Edge TPU power if needed."
coral_models_all_tf2,coral_usb_accelerator,Coral USB Accelerator,mobilenetv2,3.0,2.0,reported_latency;reported_power,"https://www.coral.ai/models/all/;https://www.coral.ai/docs/edgetpu/faq/","Official Coral model catalog, MobileNet V2 TF2 variant on Coral USB Accelerator."
coral_benchmarks,coral_usb_accelerator,Coral USB Accelerator,mobilenetv2,2.6,2.0,reported_latency;reported_power,"https://www.coral.ai/docs/edgetpu/benchmarks/;https://www.coral.ai/docs/edgetpu/faq/","Official Coral performance benchmark for MobileNet v2 (224x224) on Coral USB Accelerator."
coral_benchmarks_devboard,coral_devboard_edgetpu,Coral Dev Board + Edge TPU,mobilenetv2,2.6,2.0,reported_latency;reported_power,"https://www.coral.ai/docs/edgetpu/benchmarks/;https://www.coral.ai/docs/edgetpu/faq/","Official Coral performance benchmark for MobileNet v2 (224x224) on Coral Dev Board."
coral_models_all,coral_usb_accelerator,Coral USB Accelerator,efficientnet_edgetpu_s,5.0,2.0,reported_latency;reported_power,"https://www.coral.ai/models/all/;https://www.coral.ai/docs/edgetpu/faq/","Official Coral model catalog for EfficientNet-EdgeTpu (S), 224x224."
coral_benchmarks,coral_devboard_edgetpu,Coral Dev Board + Edge TPU,efficientnet_edgetpu_s,5.5,2.0,reported_latency;reported_power,"https://www.coral.ai/docs/edgetpu/benchmarks/;https://www.coral.ai/docs/edgetpu/faq/","Official Coral performance benchmark for EfficientNet-EdgeTpu-S on Coral Dev Board."
pytorch_rpi4_tutorial,raspberry_pi4_cpu,Raspberry Pi 4,mobilenetv2,26.4,,reported_latency,"https://docs.pytorch.org/tutorials/intermediate/realtime_rpi.html?highlight=mobilenet","Official PyTorch Raspberry Pi 4 benchmark, model time per frame."
pytorch_rpi4_tutorial,raspberry_pi4_cpu,Raspberry Pi 4,resnet18,100.3,,reported_latency,"https://docs.pytorch.org/tutorials/intermediate/realtime_rpi.html?highlight=mobilenet","Official PyTorch Raspberry Pi 4 benchmark, model time per frame."
pytorch_rpi4_tutorial,raspberry_pi4_cpu,Raspberry Pi 4,mobilenet_v3_large,30.7,,reported_latency,"https://docs.pytorch.org/tutorials/intermediate/realtime_rpi.html?highlight=mobilenet","Official PyTorch Raspberry Pi 4 benchmark, model time per frame."
ai_benchmark_v4,snapdragon888_nnapi,Samsung Galaxy S21,mobilenetv2_nn_int8,1.7,,reported_latency,"https://ai-benchmark.com/archive/data/v4/results_phones.htm","AI Benchmark v4 results page for Snapdragon 888 phones; MobileNet-V2 NN-INT8 latency."
ai_benchmark_v4,snapdragon888_nnapi,Samsung Galaxy S21,mobilenetv2_nn_fp16,0.7,,reported_latency,"https://ai-benchmark.com/archive/data/v4/results_phones.htm","AI Benchmark v4 results page for Snapdragon 888 phones; MobileNet-V2 NN-FP16 latency."
ai_benchmark_v4,snapdragon888_nnapi,Samsung Galaxy S21+,mobilenetv2_nn_int8,1.7,,reported_latency,"https://ai-benchmark.com/archive/data/v4/results_phones.htm","AI Benchmark v4 results page for Snapdragon 888 phones; MobileNet-V2 NN-INT8 latency."
ai_benchmark_v4,snapdragon888_nnapi,Samsung Galaxy S21+,mobilenetv2_nn_fp16,0.8,,reported_latency,"https://ai-benchmark.com/archive/data/v4/results_phones.htm","AI Benchmark v4 results page for Snapdragon 888 phones; MobileNet-V2 NN-FP16 latency."
ai_benchmark_v4,snapdragon888_nnapi,Samsung Galaxy S21 Ultra,mobilenetv2_nn_int8,1.7,,reported_latency,"https://ai-benchmark.com/archive/data/v4/results_phones.htm","AI Benchmark v4 results page for Snapdragon 888 phones; MobileNet-V2 NN-INT8 latency."
ai_benchmark_v4,snapdragon888_nnapi,Samsung Galaxy S21 Ultra,mobilenetv2_nn_fp16,0.8,,reported_latency,"https://ai-benchmark.com/archive/data/v4/results_phones.htm","AI Benchmark v4 results page for Snapdragon 888 phones; MobileNet-V2 NN-FP16 latency."
ai_benchmark_v4,snapdragon888_nnapi,Oppo Find X3 Pro,mobilenetv2_nn_int8,1.7,,reported_latency,"https://ai-benchmark.com/archive/data/v4/results_phones.htm","AI Benchmark v4 results page for Snapdragon 888 phones; MobileNet-V2 NN-INT8 latency."
ai_benchmark_v4,snapdragon888_nnapi,Oppo Find X3 Pro,mobilenetv2_nn_fp16,0.7,,reported_latency,"https://ai-benchmark.com/archive/data/v4/results_phones.htm","AI Benchmark v4 results page for Snapdragon 888 phones; MobileNet-V2 NN-FP16 latency."
ai_benchmark_v4,snapdragon888_nnapi,LG V70,mobilenetv2_nn_int8,1.5,,reported_latency,"https://ai-benchmark.com/archive/data/v4/results_phones.htm","AI Benchmark v4 results page for Snapdragon 888 phones; MobileNet-V2 NN-INT8 latency."
ai_benchmark_v4,snapdragon888_nnapi,LG V70,mobilenetv2_nn_fp16,0.7,,reported_latency,"https://ai-benchmark.com/archive/data/v4/results_phones.htm","AI Benchmark v4 results page for Snapdragon 888 phones; MobileNet-V2 NN-FP16 latency."
ai_benchmark_v4,snapdragon888_nnapi,Sony Xperia 1 III,mobilenetv2_nn_int8,1.7,,reported_latency,"https://ai-benchmark.com/archive/data/v4/results_phones.htm","AI Benchmark v4 results page for Snapdragon 888 phones; MobileNet-V2 NN-INT8 latency."
ai_benchmark_v4,snapdragon888_nnapi,Sony Xperia 1 III,mobilenetv2_nn_fp16,0.7,,reported_latency,"https://ai-benchmark.com/archive/data/v4/results_phones.htm","AI Benchmark v4 results page for Snapdragon 888 phones; MobileNet-V2 NN-FP16 latency."
ai_benchmark_v4,snapdragon888_nnapi,Asus ROG Phone 5,mobilenetv2_nn_int8,1.6,,reported_latency,"https://ai-benchmark.com/archive/data/v4/results_phones.htm","AI Benchmark v4 results page for Snapdragon 888 phones; MobileNet-V2 NN-INT8 latency."
ai_benchmark_v4,snapdragon888_nnapi,Asus ROG Phone 5,mobilenetv2_nn_fp16,0.8,,reported_latency,"https://ai-benchmark.com/archive/data/v4/results_phones.htm","AI Benchmark v4 results page for Snapdragon 888 phones; MobileNet-V2 NN-FP16 latency."
ai_benchmark_v4,snapdragon888_nnapi,Zenfone 8,mobilenetv2_nn_int8,1.6,,reported_latency,"https://ai-benchmark.com/archive/data/v4/results_phones.htm","AI Benchmark v4 results page for Snapdragon 888 phones; MobileNet-V2 NN-INT8 latency."
ai_benchmark_v4,snapdragon888_nnapi,Zenfone 8,mobilenetv2_nn_fp16,0.8,,reported_latency,"https://ai-benchmark.com/archive/data/v4/results_phones.htm","AI Benchmark v4 results page for Snapdragon 888 phones; MobileNet-V2 NN-FP16 latency."
ai_benchmark_v4,snapdragon888_nnapi,Asus ROG Phone 5 Ultimate,mobilenetv2_nn_int8,1.8,,reported_latency,"https://ai-benchmark.com/archive/data/v4/results_phones.htm","AI Benchmark v4 results page for Snapdragon 888 phones; MobileNet-V2 NN-INT8 latency."
ai_benchmark_v4,snapdragon888_nnapi,Asus ROG Phone 5 Ultimate,mobilenetv2_nn_fp16,0.8,,reported_latency,"https://ai-benchmark.com/archive/data/v4/results_phones.htm","AI Benchmark v4 results page for Snapdragon 888 phones; MobileNet-V2 NN-FP16 latency."
